Name	NEW NAME	clade	Long	Lat
T4924	"T4924 - Segoma Forest, Camp"	sylvaticus north	38.75825	-4.98094
T4925	"T4925 - Segoma Forest, Camp"	sylvaticus north	38.75825	-4.98094
T4941	"T4941 - Segoma Forest, Camp, East Usambara"	stridens_north	38.75825	-4.98094
T4953	"T4953 - Segoma Forest, Camp, East Usambara"		38.7615	-4.97643
T4960	"T4960 - Tanzania, Segoma FR, East Usambara"	flavomaculatus_north	38.7615	-4.97643
T4970	"T4970 - Tanzania, Segoma FR, East Usambara"	flavomaculatus_north	38.7615	-4.97643
T4975	"T4975 - Kwamgumi Forest Reserve, East Usambara"	stridens_north	38.73714	-4.97217
T4979	T4979 - Malawi	delicatus_south	35.71076	-16.04831
T4980	T4980 - Malawi	delicatus_south	35.71076	-16.04831
T4982	"T4982 - Baleni Pond, Mafia, Tanzania"		39.802533	-7.849772
T5007	"T5007 - Ukaguru; Lumbiji, loc. 2 (paddy field)"	sylvaticus north	36.984236	-6.614667
T5008	"T5008 - Ukaguru; Lumbiji, loc. 2 (paddy field)"	sylvaticus north	36.984236	-6.614667
T5012	T5012 - Kanga FR	sylvaticus north	37.724304	-5.959949
T5014	T5014 - Sanje	stridens_other	36.892167	-7.783333
T5030	T5030 - Kazimzumbwi	stridens_other	39.053444	-6.932306
T5031	T5031 - Kazimzumbwi		39.053444	-6.932306
T5040	T5040 - Mlinga FR	stridens_north	38.751694	-5.058278
T5049	T5049 - Kwamgumi FR	stridens_north	38.750528	-4.920833
T5055	T5055 - Nilo FR		38.693306	-4.928472
T5056	T5056 - Nilo FR	stridens_north	38.664611	-4.910778
T5060	T5060 - Kasanga FR	xenodactyloides	37.773925	-7.191166
T5061	T5061 - Mangala FR	stridens_other	37.758611	-6.979167
T5062	T5062 - Milawilila FR		37.75	-6.979167
T5063	T5063 - Mkungwe FR		37.915	-6.868611
T5065	T5065 - Mvuha FR	stridens_other	37.8375	-7.179167
T5067	T5067 - Ngambaula FR	stridens_other	37.764167	-6.984722
T5069	T5069 - Uluguru Ruvu FR	stridens_other	37.8625	-7.008056
T5105	"T5105 - Kitolomero,USFR, Tanzania"	fornasini_south	35.9824	-8.39521
T5108	T5108 - Mgeta Hydroelectric Dam	stridens_other	36.091327	-8.311798
T5109	T5109 - Mgeta Hydroelectric Dam	stridens_other	36.091327	-8.311798
T5144	"T5144 - Kilombero Valley, Tanzania"	fornasini_central	36.091327	-8.311798
T5145	"T5145 - Kilombero Valley, Tanzania"	fornasini_central	36.091327	-8.311798
T5157	T5157 - Makadara forest		39.39563889	-4.237555556
T5167	T5167 - Mukurumudzi River Dam-Maumba 	stridens_north	39.4292	-4.375333333
T5168	"T5168 - Mukurumudzi  River Dam,  Miembeni"	sylvaticus north	39.42546667	-4.375216667
T5169	"T5169 - Mukurumudzi  River Dam,  Miembeni"	sylvaticus north	39.42546667	-4.375216667
T5170	"T5170 - Mukurumudzi  River Dam,  Miembeni"	stridens_north	39.42546667	-4.375216667
T5172	T5172 - Mwaluganje Bridge	concolor	39.41731	-4.15821
T5173	T5173 - Mwaluganje Bridge	concolor	39.41731	-4.15821
T5178	T5178 - Mwaluganje sanctuary	concolor	39.44002	-4.1278
